model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
blstm,k0,r2,0,50,train,0.9964897040797909,0.9777031540870667,0.0004782265674102267
blstm,k0,r2,0,50,test,0.9964032372607678,0.9777595400810242,0.0004769375780597329
blstm,k0,r2,0,100,train,0.40851201692545025,0.16400575637817383,0.017883591647995144
blstm,k0,r2,0,100,test,0.39591242376279756,0.15525192022323608,0.018147673457860947
blstm,k0,r2,0,200,train,-0.26916293269317443,-7.152557373046875e-07,0.021426988664913823
blstm,k0,r2,0,200,test,-0.2723693973690544,-7.390975952148438e-05,0.02129473499953747
blstm,k0,r2,0,250,train,-0.16193634662815698,-0.008712053298950195,0.021612179138370463
blstm,k0,r2,0,250,test,-0.16706862864266636,-0.01050877571105957,0.021556059829890728
blstm,k0,r2,0,500,train,0.40565527508987503,0.1200108528137207,0.018850029320330232
blstm,k0,r2,0,500,test,0.41789817603553203,0.12404119968414307,0.018748096562922
blstm,k1,r5,0,10,train,0.730700083842786,0.4832864999771118,0.010703484086613906
blstm,k1,r5,0,10,test,0.7222838705916252,0.46611183881759644,0.010943519696593285
blstm,k1,r5,0,50,train,0.44068712525254183,0.19278675317764282,0.016683084841229413
blstm,k1,r5,0,50,test,0.43144726475152906,0.18387341499328613,0.016742020100355148
blstm,k1,r5,0,100,train,0.2410912191122949,-0.04112982749938965,0.02163172601477096
blstm,k1,r5,0,100,test,0.24785420241726097,-0.04710102081298828,0.021446262300014497
blstm,k1,r5,0,200,train,-0.012812141032609095,-0.0005227327346801758,0.02074291990012736
blstm,k1,r5,0,200,test,-0.024443737369123753,-0.00015234947204589844,0.02037478480488062
blstm,k1,r5,0,250,train,-0.0012138972415280669,-0.05112802982330322,0.02180515808632245
blstm,k1,r5,0,250,test,0.003056971010540366,-0.0567549467086792,0.021515972167253494
blstm,k1,r5,0,500,train,0.38260541559931727,0.13582265377044678,0.01791869934547592
blstm,k1,r5,0,500,test,0.38055063318369164,0.13601219654083252,0.017761139385402202
