model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
cnn,gb1,r0,0,50,test,0.4727602717383825,0.22349953651428223,0.11578153495987256
cnn,gb1,r0,0,100,train,0.4382699394125069,0.19172877073287964,0.1278857166886839
cnn,gb1,r0,0,100,test,0.4353178386671482,0.1885356307029724,0.1207778533299764
cnn,gb1,r0,0,200,train,0.44002071825874023,0.19300425052642822,0.12767956412246084
cnn,gb1,r0,0,200,test,0.43861565259183427,0.1911342740058899,0.12007166224263482
cnn,gb1,r0,0,250,train,0.43958765913926345,0.19314360618591309,0.1276625163025326
cnn,gb1,r0,0,250,test,0.43705222690068835,0.19075298309326172,0.12015429322244757
cnn,gb1,r0,0,500,train,0.44015372488498283,0.19330596923828125,0.12763568574292028
cnn,gb1,r0,0,500,test,0.4387834479491108,0.19142192602157593,0.12003542047183392
cnn,gb1,r1,0,10,train,0.9888518884802535,0.9777845144271851,0.003517221654446907
cnn,gb1,r1,0,10,test,0.979940480405266,0.960243821144104,0.005776246221891294
cnn,gb1,r1,0,50,train,0.4770476642962215,0.22750389575958252,0.12222885451892503
cnn,gb1,r1,0,50,test,0.47220686888814234,0.22278064489364624,0.11569385354717572
cnn,gb1,r1,0,100,train,0.43992250281851714,0.19296038150787354,0.1276923519296524
cnn,gb1,r1,0,100,test,0.43776542772986465,0.191511869430542,0.1203746517499288
cnn,gb1,r1,0,200,train,0.43895181034303843,0.1925039291381836,0.12776137224565715
cnn,gb1,r1,0,200,test,0.43553989694451767,0.18961530923843384,0.1203136421361212
cnn,gb1,r1,0,250,train,0.43784059341780607,0.1911744475364685,0.12798204911379224
cnn,gb1,r1,0,250,test,0.43886981834943584,0.19221800565719604,0.11989813620003603
cnn,gb1,r1,0,500,train,,-3.4689903259277344e-05,0.1582843055550614
cnn,gb1,r1,0,500,test,,-1.1920928955078125e-07,0.14847994684162785
cnn,gb1,r2,0,10,train,0.9884174609279198,0.9765779376029968,0.003706177140379118
cnn,gb1,r2,0,10,test,0.9773686926118618,0.9548250436782837,0.006588227720931173
cnn,gb1,r2,0,50,train,0.47674333636544375,0.22712171077728271,0.12229071497025652
cnn,gb1,r2,0,50,test,0.47126631419258946,0.2217203974723816,0.11591929718852043
cnn,gb1,r2,0,100,train,0.4393516695882947,0.1928909420967102,0.12770215183114395
