model,landscape,replicate,fixed_site,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k2,r0,1,F,-0.09585760915799788,-12.7146635055542,0.3063196763396263,
blstm,k2,r0,1,G,-0.08004303242653221,-12.047901153564453,0.2881978414952755,
blstm,k2,r0,2,train,-0.030714221498309602,-12.287641525268555,0.2923613339662552,
blstm,k2,r0,2,D,-0.08111142427392881,-11.174966812133789,0.26980406790971756,
blstm,k2,r0,2,C,-0.03905266401948504,-12.81054401397705,0.2760832831263542,
blstm,k2,r0,2,E,-0.09106998066061195,-11.510120391845703,0.27333272993564606,
blstm,k2,r0,2,F,-0.02090315839559559,-11.287678718566895,0.283619187772274,
blstm,k2,r0,2,G,-0.09590252368904063,-12.030131340026855,0.2808481231331825,
blstm,k2,r0,3,train,0.13300036563092743,-16.095678329467773,0.36716607213020325,
blstm,k2,r0,3,D,0.12084442183272692,-14.617118835449219,0.3323184549808502,
blstm,k2,r0,3,C,-0.05793218653819254,-15.444490432739258,0.3374122604727745,
blstm,k2,r0,3,E,0.04041481363716004,-13.375256538391113,0.3184608146548271,
blstm,k2,r0,3,F,0.13032153146422232,-14.807860374450684,0.33338138461112976,
blstm,k2,r0,3,G,-0.1516165822249116,-12.31645393371582,0.30338873714208603,
blstm,k2,r0,4,train,0.11238193097560545,-10.162278175354004,0.25431468337774277,
blstm,k2,r0,4,D,0.07946766811860118,-10.231035232543945,0.24197767302393913,
blstm,k2,r0,4,C,-0.03568540906737694,-11.604373931884766,0.2497437298297882,
blstm,k2,r0,4,E,0.04541016231792394,-11.177573204040527,0.27897441387176514,
blstm,k2,r0,4,F,0.044864630914501435,-9.63463306427002,0.24223793298006058,
blstm,k2,r0,4,G,-0.0653786953087967,-11.415434837341309,0.2534237653017044,
blstm,k2,r0,5,train,0.02671594354490514,-9.716126441955566,0.2505975551903248,
blstm,k2,r0,5,D,0.0794467480062917,-12.550705909729004,0.2842751294374466,
blstm,k2,r0,5,C,-0.16645728769650292,-10.481696128845215,0.25172803178429604,
blstm,k2,r0,5,E,-0.08437473376115001,-13.281283378601074,0.31752314418554306,
blstm,k2,r0,5,F,0.056905516166828374,-13.159904479980469,0.2637127414345741,
blstm,k2,r0,5,G,0.08947237541391007,-14.314641952514648,0.30757109075784683,
blstm,k2,r5,0,train,-0.018230083987056944,-11.684063911437988,0.24520011991262436,
blstm,k2,r5,0,D,0.01906150864239864,-10.257428169250488,0.2359079234302044,
