model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r4,M0-M4,0,M4,0.999631932,0.998981617,1.43E-05,
blstm,k0,r4,M0-M4,0,M5,0.999601661,0.998906841,1.92E-05,
blstm,k0,r4,M0-M4,0,M6,0.999539961,0.998749256,2.49E-05,
blstm,k0,r4,M0-M5,0,train,0.999833256,0.999663733,6.23E-06,13
blstm,k0,r4,M0-M5,0,M1,0.999061588,0.998119106,5.56E-06,
blstm,k0,r4,M0-M5,0,M2,0.999684975,0.999276023,4.54E-06,
blstm,k0,r4,M0-M5,0,M3,0.999795673,0.999555939,4.98E-06,
blstm,k0,r4,M0-M5,0,M4,0.999807617,0.999601031,5.60E-06,
blstm,k0,r4,M0-M5,0,M5,0.999814223,0.999621942,6.63E-06,
blstm,k0,r4,M0-M5,0,M6,0.999794502,0.999565526,8.70E-06,
blstm,k0,r4,M0-M6,0,train,0.999900072,0.999759488,5.07E-06,16
blstm,k0,r4,M0-M6,0,M1,0.999847579,0.998667885,3.94E-06,
blstm,k0,r4,M0-M6,0,M2,0.99986292,0.999496365,3.16E-06,
blstm,k0,r4,M0-M6,0,M3,0.999884817,0.999663913,3.77E-06,
blstm,k0,r4,M0-M6,0,M4,0.99987621,0.999686004,4.40E-06,
blstm,k0,r4,M0-M6,0,M5,0.999884552,0.999728479,4.75E-06,
blstm,k0,r4,M0-M6,0,M6,0.999887829,0.999712795,5.77E-06,
blstm,k0,r0,M0-M1,0,train,0.287202785,0.037395222,0.006564953,22
blstm,k0,r0,M0-M1,0,M1,0.167939579,-2.953465311,0.006977289,
blstm,k0,r0,M0-M1,0,M2,0.216021192,-0.096920193,0.011825019,
blstm,k0,r0,M0-M1,0,M3,0.234795129,-0.083737353,0.017906174,
blstm,k0,r0,M0-M1,0,M4,0.180723939,-0.148497404,0.022858389,
blstm,k0,r0,M0-M1,0,M5,0.19296213,-0.202826437,0.02658868,
blstm,k0,r0,M0-M1,0,M6,0.202806935,-0.278053828,0.031656038,
blstm,k0,r0,M0-M2,0,train,0.998731228,0.997456692,2.90E-05,76
blstm,k0,r0,M0-M2,0,M1,0.999695292,0.996226421,6.66E-06,
blstm,k0,r0,M0-M2,0,M2,0.996749876,0.993137051,7.40E-05,
blstm,k0,r0,M0-M2,0,M3,0.995971801,0.991154006,0.000146159,
blstm,k0,r0,M0-M2,0,M4,0.993153216,0.983726127,0.000323897,
blstm,k0,r0,M0-M2,0,M5,0.988612961,0.97322094,0.000593796,
blstm,k0,r0,M0-M2,0,M6,0.985266477,0.964621888,0.000875731,
blstm,k0,r0,M0-M3,0,train,0.999806644,0.999606232,6.14E-06,31
blstm,k0,r0,M0-M3,0,M1,0.999748023,0.998905133,1.93E-06,
blstm,k0,r0,M0-M3,0,M2,0.999879965,0.999631477,3.97E-06,
blstm,k0,r0,M0-M3,0,M3,0.999765374,0.999522978,7.88E-06,
blstm,k0,r0,M0-M3,0,M4,0.999622434,0.999214899,1.56E-05,
blstm,k0,r0,M0-M3,0,M5,0.999342882,0.998595684,3.11E-05,
blstm,k0,r0,M0-M3,0,M6,0.999100894,0.997996317,4.94E-05,
blstm,k0,r0,M0-M4,0,train,0.999731489,0.999252411,1.41E-05,13
blstm,k0,r0,M0-M4,0,M1,0.999681495,0.994700011,9.35E-06,
blstm,k0,r0,M0-M4,0,M2,0.999793788,0.999248557,8.10E-06,
blstm,k0,r0,M0-M4,0,M3,0.999772799,0.999333474,1.10E-05,
blstm,k0,r0,M0-M4,0,M4,0.999715802,0.999235819,1.52E-05,
blstm,k0,r0,M0-M4,0,M5,0.999650116,0.999084664,2.03E-05,
blstm,k0,r0,M0-M4,0,M6,0.999609018,0.998975725,2.57E-05,
blstm,k0,r0,M0-M5,0,train,0.999835803,0.999420953,1.24E-05,10
blstm,k0,r0,M0-M5,0,M1,0.999652617,0.994510521,9.69E-06,
blstm,k0,r0,M0-M5,0,M2,0.999862158,0.999126118,9.42E-06,
blstm,k0,r0,M0-M5,0,M3,0.999860671,0.999372383,1.04E-05,
blstm,k0,r0,M0-M5,0,M4,0.999847788,0.99940878,1.18E-05,
blstm,k0,r0,M0-M5,0,M5,0.999815641,0.999409688,1.30E-05,
blstm,k0,r0,M0-M5,0,M6,0.99979555,0.999393128,1.51E-05,
blstm,k0,r0,M0-M6,0,train,0.999666727,0.999271786,1.65E-05,9
blstm,k0,r0,M0-M6,0,M1,0.999457767,0.997161654,5.01E-06,
blstm,k0,r0,M0-M6,0,M2,0.999760712,0.999459428,5.83E-06,
blstm,k0,r0,M0-M6,0,M3,0.999626329,0.999159885,1.39E-05,
blstm,k0,r0,M0-M6,0,M4,0.999631941,0.999164649,1.66E-05,
blstm,k0,r0,M0-M6,0,M5,0.99964503,0.999209596,1.75E-05,
blstm,k0,r0,M0-M6,0,M6,0.999687487,0.999307696,1.71E-05,
blstm,k0,r7,M0-M1,0,train,0.511504902,-0.388667799,0.014021784,21
blstm,k0,r7,M0-M1,0,M1,0.761399857,-0.84120373,0.009722881,
blstm,k0,r7,M0-M1,0,M2,0.507621967,-0.473150344,0.020849422,
blstm,k0,r7,M0-M1,0,M3,0.492041873,-0.275944761,0.028517479,
blstm,k0,r7,M0-M1,0,M4,0.474312933,-0.296250896,0.031299528,
blstm,k0,r7,M0-M1,0,M5,0.451910702,-0.361780611,0.033218514,
blstm,k0,r7,M0-M1,0,M6,0.376598475,-0.482792118,0.032164732,
blstm,k0,r7,M0-M2,0,train,0.612660024,0.352157771,0.010383984,20
blstm,k0,r7,M0-M2,0,M1,0.69385926,0.395310749,0.003193194,
blstm,k0,r7,M0-M2,0,M2,0.604937742,0.26400659,0.010416477,
blstm,k0,r7,M0-M2,0,M3,0.610449664,0.288567769,0.015900573,
blstm,k0,r7,M0-M2,0,M4,0.61147893,0.199214825,0.019335916,
blstm,k0,r7,M0-M2,0,M5,0.636451449,0.127707458,0.021289054,
blstm,k0,r7,M0-M2,0,M6,0.632106068,-0.020898566,0.022058202,
blstm,k0,r7,M0-M3,0,train,0.999617247,0.999228263,1.46E-05,27
blstm,k0,r7,M0-M3,0,M1,0.99970884,0.999003166,5.26E-06,
blstm,k0,r7,M0-M3,0,M2,0.999646311,0.999152017,1.20E-05,
blstm,k0,r7,M0-M3,0,M3,0.999567979,0.999131895,1.94E-05,
blstm,k0,r7,M0-M3,0,M4,0.999424773,0.998815268,2.86E-05,
blstm,k0,r7,M0-M3,0,M5,0.999265613,0.998424937,3.86E-05,
blstm,k0,r7,M0-M3,0,M6,0.998945599,0.997672005,5.02E-05,
blstm,k0,r7,M0-M4,0,train,0.999710506,0.99935505,1.44E-05,17
blstm,k0,r7,M0-M4,0,M1,0.999621622,0.998429138,8.30E-06,
blstm,k0,r7,M0-M4,0,M2,0.999689332,0.99936366,9.01E-06,
blstm,k0,r7,M0-M4,0,M3,0.999744668,0.999450082,1.23E-05,
blstm,k0,r7,M0-M4,0,M4,0.999702209,0.999327571,1.62E-05,
blstm,k0,r7,M0-M4,0,M5,0.999632134,0.99915131,2.08E-05,
blstm,k0,r7,M0-M4,0,M6,0.999461475,0.998755344,2.70E-05,
blstm,k0,r7,M0-M5,0,train,0.99962569,0.999157778,1.94E-05,11
blstm,k0,r7,M0-M5,0,M1,0.99963225,0.998903415,5.79E-06,
blstm,k0,r7,M0-M5,0,M2,0.999684244,0.999331601,9.46E-06,
blstm,k0,r7,M0-M5,0,M3,0.999694091,0.999307962,1.55E-05,
blstm,k0,r7,M0-M5,0,M4,0.99963765,0.999144126,2.07E-05,
blstm,k0,r7,M0-M5,0,M5,0.999633749,0.999166625,2.04E-05,
blstm,k0,r7,M0-M5,0,M6,0.99958268,0.99910021,1.97E-05,
blstm,k0,r7,M0-M6,0,train,0.999845048,0.999622525,8.50E-06,11
blstm,k0,r7,M0-M6,0,M1,0.999923164,0.996404946,1.90E-05,
blstm,k0,r7,M0-M6,0,M2,0.999820582,0.999214398,1.11E-05,
blstm,k0,r7,M0-M6,0,M3,0.999871427,0.999533963,1.04E-05,
blstm,k0,r7,M0-M6,0,M4,0.999850462,0.999603591,9.57E-06,
blstm,k0,r7,M0-M6,0,M5,0.999850538,0.999648414,8.59E-06,
blstm,k0,r7,M0-M6,0,M6,0.999849908,0.99963667,7.78E-06,
blstm,k1,r2,M0-M1,0,train,-0.037064857,-0.039922257,0.01962577,12
blstm,k1,r2,M0-M1,0,M1,-0.426445387,-0.6007615,0.012198365,
blstm,k1,r2,M0-M1,0,M2,0.038582735,-0.027482272,0.023274982,
blstm,k1,r2,M0-M1,0,M3,0.002507407,-0.009118184,0.0264397,
blstm,k1,r2,M0-M1,0,M4,0.040259875,-0.001674207,0.024580797,
blstm,k1,r2,M0-M1,0,M5,0.047022764,-0.001376583,0.021378794,
blstm,k1,r2,M0-M1,0,M6,-0.129571668,-0.119764012,0.020041237,
blstm,k1,r2,M0-M2,0,train,0.945920173,0.894332033,0.002614392,49
blstm,k1,r2,M0-M2,0,M1,0.959945373,0.859970963,0.001067071,
blstm,k1,r2,M0-M2,0,M2,0.91482579,0.830963331,0.003829093,
blstm,k1,r2,M0-M2,0,M3,0.85938563,0.732739387,0.007002441,
blstm,k1,r2,M0-M2,0,M4,0.702922896,0.459631152,0.013260495,
blstm,k1,r2,M0-M2,0,M5,0.444717728,-0.016174911,0.021724997,
blstm,k1,r2,M0-M2,0,M6,0.044129055,-0.834556765,0.033289865,
blstm,k1,r2,M0-M3,0,train,0.997621196,0.994241496,0.000148636,80
blstm,k1,r2,M0-M3,0,M1,0.999564707,0.98360362,0.000124946,
blstm,k1,r2,M0-M3,0,M2,0.997412575,0.993152759,0.000155107,
blstm,k1,r2,M0-M3,0,M3,0.994858528,0.988274176,0.000307226,
blstm,k1,r2,M0-M3,0,M4,0.985151794,0.968662761,0.000769007,
blstm,k1,r2,M0-M3,0,M5,0.932578371,0.863684192,0.002905083,
blstm,k1,r2,M0-M3,0,M6,0.792975303,0.598437861,0.007238529,
blstm,k1,r2,M0-M4,0,train,0.998922372,0.997764367,5.71E-05,44
blstm,k1,r2,M0-M4,0,M1,0.999412986,0.99702295,2.27E-05,
blstm,k1,r2,M0-M4,0,M2,0.999382797,0.998643192,3.07E-05,
blstm,k1,r2,M0-M4,0,M3,0.99915713,0.998280252,4.51E-05,
blstm,k1,r2,M0-M4,0,M4,0.998666742,0.997236233,6.78E-05,
blstm,k1,r2,M0-M4,0,M5,0.996727602,0.992406498,0.000162825,
blstm,k1,r2,M0-M4,0,M6,0.989240494,0.970130826,0.000553334,
blstm,k1,r2,M0-M5,0,train,0.999393727,0.998672189,3.11E-05,34
blstm,k1,r2,M0-M5,0,M1,0.997764724,0.995494146,3.43E-05,
blstm,k1,r2,M0-M5,0,M2,0.999556226,0.998660635,3.03E-05,
blstm,k1,r2,M0-M5,0,M3,0.999563185,0.998964486,2.71E-05,
blstm,k1,r2,M0-M5,0,M4,0.999439299,0.99870458,3.18E-05,
blstm,k1,r2,M0-M5,0,M5,0.999250127,0.998436177,3.35E-05,
blstm,k1,r2,M0-M5,0,M6,0.998173465,0.996032229,7.02E-05,
blstm,k1,r2,M0-M6,0,train,0.999374052,0.998701227,2.75E-05,30
blstm,k1,r2,M0-M6,0,M1,0.999687777,0.995458199,3.46E-05,
blstm,k1,r2,M0-M6,0,M2,0.999495802,0.998541564,3.30E-05,
blstm,k1,r2,M0-M6,0,M3,0.99954582,0.998941806,2.77E-05,
blstm,k1,r2,M0-M6,0,M4,0.999479488,0.998911742,2.67E-05,
blstm,k1,r2,M0-M6,0,M5,0.999360895,0.998678847,2.84E-05,
blstm,k1,r2,M0-M6,0,M6,0.999199678,0.998357941,2.91E-05,
blstm,k1,r4,M0-M1,0,train,0.552031618,0.032334317,0.015878057,10
blstm,k1,r4,M0-M1,0,M1,0.762142859,0.033372791,0.016844939,
blstm,k1,r4,M0-M1,0,M2,0.489030272,-0.521573902,0.022581501,
blstm,k1,r4,M0-M1,0,M3,0.180909278,-1.085830958,0.046512872,
blstm,k1,r4,M0-M1,0,M4,0.017280167,-1.838652225,0.060818482,
blstm,k1,r4,M0-M1,0,M5,-0.169590642,-2.681926133,0.079381812,
blstm,k1,r4,M0-M1,0,M6,-0.1564708,-2.70670124,0.08820314,
blstm,k1,r4,M0-M2,0,train,0.926946332,0.855495152,0.003378632,38
blstm,k1,r4,M0-M2,0,M1,0.985638449,0.865948599,0.002336048,
blstm,k1,r4,M0-M2,0,M2,0.897832551,0.790700967,0.003106183,
blstm,k1,r4,M0-M2,0,M3,0.762820801,0.552506928,0.009978847,
blstm,k1,r4,M0-M2,0,M4,0.496170473,0.096713773,0.019353021,
blstm,k1,r4,M0-M2,0,M5,0.14421726,-0.369779838,0.029459127,
blstm,k1,r4,M0-M2,0,M6,-0.145437593,-0.579947678,0.037547901,
blstm,k1,r4,M0-M3,0,train,0.996446748,0.991914065,0.000176732,63
blstm,k1,r4,M0-M3,0,M1,0.99966341,0.996699454,5.75E-05,
blstm,k1,r4,M0-M3,0,M2,0.996713758,0.990470113,0.000141432,
blstm,k1,r4,M0-M3,0,M3,0.991556297,0.982072584,0.000399771,
blstm,k1,r4,M0-M3,0,M4,0.980392546,0.959395957,0.000869947,
blstm,k1,r4,M0-M3,0,M5,0.930648916,0.862173155,0.002962469,
blstm,k1,r4,M0-M3,0,M6,0.840038131,0.698219816,0.00711053,
blstm,k1,r4,M0-M4,0,train,0.998029771,0.995973594,8.75E-05,36
blstm,k1,r4,M0-M4,0,M1,0.999901396,0.99848321,2.64E-05,
blstm,k1,r4,M0-M4,0,M2,0.997614999,0.994955526,7.49E-05,
blstm,k1,r4,M0-M4,0,M3,0.998103286,0.996142633,8.60E-05,
blstm,k1,r4,M0-M4,0,M4,0.997529711,0.994964276,0.000107891,
blstm,k1,r4,M0-M4,0,M5,0.994376338,0.987942666,0.000260291,
blstm,k1,r4,M0-M4,0,M6,0.983278721,0.960797569,0.00092865,
blstm,k1,r4,M0-M5,0,train,0.999029677,0.998040345,4.35E-05,27
blstm,k1,r4,M0-M5,0,M1,0.999723109,0.998348973,2.88E-05,
blstm,k1,r4,M0-M5,0,M2,0.999282924,0.997972019,3.01E-05,
blstm,k1,r4,M0-M5,0,M3,0.99926749,0.998419667,3.52E-05,
blstm,k1,r4,M0-M5,0,M4,0.999170699,0.998311425,3.62E-05,
blstm,k1,r4,M0-M5,0,M5,0.998876338,0.997652207,5.06E-05,
blstm,k1,r4,M0-M5,0,M6,0.997867831,0.995326432,0.00011042,
blstm,k1,r4,M0-M6,0,train,0.999025417,0.998000679,4.59E-05,25
