model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r0,4,train,0.9996092094091985,0.9991064667701721,1.6389586107834475e-05,
blstm,k0,r0,4,G,0.9970280451443678,0.016089677810668945,0.018166103400290012,
blstm,k0,r0,4,F,0.9995529254942543,-0.01872241497039795,0.018771065399050713,
blstm,k0,r0,4,C,0.9963475574267269,0.6547504663467407,0.0063510158797726035,
blstm,k0,r0,4,E,0.998470998430497,0.9030263423919678,0.0017875720805022866,
blstm,k0,r0,4,D,0.9978847175387031,0.1685342788696289,0.01532763335853815,
blstm,k0,r0,5,train,0.9997572213603607,0.9995043277740479,9.654366067479714e-06,
blstm,k0,r0,5,G,0.9995026970739791,0.9900940656661987,0.00019424014317337424,
blstm,k0,r0,5,F,0.9992761480248813,-0.5431278944015503,0.030019044876098633,
blstm,k0,r0,5,C,0.9993060361600317,0.8466611504554749,0.0029675968689844012,
blstm,k0,r0,5,E,0.9997039101122862,0.9383471012115479,0.00119846235611476,
blstm,k0,r0,5,D,0.9995729595485631,0.999123215675354,1.7054529052984435e-05,
blstm,k0,r5,0,train,0.9996432799349526,0.9991148114204407,1.1481725778139662e-05,
blstm,k0,r5,0,G,0.9959775104538703,-2.6122841835021973,0.046055540442466736,
blstm,k0,r5,0,F,0.9982264891865285,-3.898617744445801,0.06255773361772299,
blstm,k0,r5,0,C,0.9951847230779682,-5.93554162979126,0.0884983092546463,
blstm,k0,r5,0,E,0.9965622474988272,-11.801355361938477,0.16345010697841644,
blstm,k0,r5,0,D,0.9963210968033843,-0.1277223825454712,0.014345313888043165,
blstm,k0,r5,1,train,0.99988740813003,0.999712347984314,4.384932594803104e-06,
blstm,k0,r5,1,G,0.9989326991028258,-0.9749095439910889,0.030041220597922802,
blstm,k0,r5,1,F,0.9991623736073051,-0.32690441608428955,0.020102729089558125,
blstm,k0,r5,1,C,0.9993449241837142,-2.1677114963531494,0.04808297660201788,
blstm,k0,r5,1,E,0.999340382347038,-3.108320713043213,0.06227343250066042,
blstm,k0,r5,1,D,0.9975284883655684,0.34909963607788086,0.009930147090926766,
blstm,k0,r5,2,train,0.999795261097239,0.9994644522666931,8.560600690543652e-06,
blstm,k0,r5,2,G,0.998828822403891,0.3038710355758667,0.011279913131147623,
blstm,k0,r5,2,F,0.9970615891168026,0.9877200126647949,0.00019657469965750352,
blstm,k0,r5,2,C,0.9963267619877227,0.6934797763824463,0.004955442389473319,
blstm,k0,r5,2,E,0.9947827975791927,0.126359760761261,0.014150668401271105,
blstm,k0,r5,2,D,0.9946868609282619,-0.21265184879302979,0.01970263384282589,
