model,landscape,replicate,cv_fold,data_split,pearson_r,r2,mse,train_epochs
gb,k1,r7,0,test,0.9998616107844457,0.9997227269000899,6.667182036421585e-06,
gb,k2,r2,0,train,0.9986819488598506,0.9973573012285853,4.817828093004838e-05,
gb,k2,r2,0,test,0.9978112364514586,0.9954853842707689,8.17124792547772e-05,
gb,k2,r4,0,train,0.9987743153655511,0.9975451064699142,4.954399907574522e-05,
gb,k2,r4,0,test,0.9979904082469544,0.9959004375909021,8.136130117088499e-05,
gb,k2,r0,0,train,0.9982047629752566,0.9963867330813279,7.908556945506914e-05,
gb,k2,r0,0,test,0.9969935025889898,0.9937090191978866,0.0001366710304015608,
gb,k2,r7,0,train,0.9987888223728328,0.9975667876881111,4.845069264719023e-05,
gb,k2,r7,0,test,0.9979417101746745,0.9957186476211992,8.567044979629975e-05,
gb,k3,r2,0,train,0.9990831024098091,0.9981340994395114,3.7588373016021656e-05,
gb,k3,r2,0,test,0.9883527398728752,0.9727337511138189,0.000535502278432256,
gb,k3,r4,0,train,0.9991318705714187,0.9982334700232539,3.518907279404411e-05,
gb,k3,r4,0,test,0.9889040102356963,0.9734206799812641,0.0005156283862453962,
gb,k3,r0,0,train,0.9991929778327401,0.9983625858179809,3.0638708971324885e-05,
gb,k3,r0,0,test,0.9907225663923103,0.9779828608195689,0.0004195126571437848,
gb,k3,r7,0,train,0.9992183779315869,0.9984158723801416,3.2906725606519266e-05,
gb,k3,r7,0,test,0.9908918017811924,0.9782562410811911,0.00045209098889031327,
gb,k4,r2,0,train,0.9996625189669008,0.999223930182683,1.4543131609143874e-05,
gb,k4,r2,0,test,0.8130988193307517,0.6480664595682031,0.006576784767751216,
gb,k4,r4,0,train,0.999651887543974,0.9991906485517745,1.5112804173004517e-05,
gb,k4,r4,0,test,0.7979006011607516,0.6220910506555684,0.007033027714088043,
gb,k4,r0,0,train,0.9996493896815423,0.999184163361043,1.4945153312204891e-05,
gb,k4,r0,0,test,0.8011921752232574,0.625559429599275,0.00695491300533836,
gb,k4,r7,0,train,0.9996411702962614,0.999169008789451,1.5573539071076228e-05,
gb,k4,r7,0,test,0.796200519415292,0.6213716987046037,0.007035894915084215,
gb,k5,r2,0,train,0.02547714253881706,0.00034008739654334263,0.019986631296381577,
gb,k5,r2,0,test,0.00845391888587519,6.306981961490266e-05,0.020583451007839842,
gb,k5,r4,0,train,0.01918776845342878,0.00024363535059046537,0.020280321321595147,
gb,k5,r4,0,test,-0.007148066662827328,-0.00018434757539265156,0.01948142681461629,
gb,k5,r0,0,train,0.016803506509127,0.00014095375051881298,0.019363386339481183,
gb,k5,r0,0,test,0.006660362385019684,4.038031625286376e-05,0.019047210176491906,
gb,k5,r7,0,train,0.02603006319942504,0.00035966729608516435,0.01990749108303937,
gb,k5,r7,0,test,-0.008532059115823451,-0.00037211499478284615,0.019729105266969766,
linear,k0,r2,0,train,0.9999999998661809,0.9999999995948492,8.687417926846551e-12,9.0
linear,k0,r2,0,test,0.9999999998638043,0.9999999995876324,8.802540814312198e-12,
linear,k0,r4,0,train,0.9999999998805186,0.9999999996644793,6.971375505380067e-12,9.0
linear,k0,r4,0,test,0.9999999998798101,0.9999999996613651,7.090768857492824e-12,
linear,k0,r0,0,train,0.999999999853983,0.9999999996397969,8.062771165264887e-12,9.0
linear,k0,r0,0,test,0.9999999998583233,0.9999999996502977,8.060638614915127e-12,
linear,k0,r7,0,train,0.9999999998705622,0.9999999992972779,1.609116458499646e-11,9.0
linear,k0,r7,0,test,0.9999999998685203,0.9999999992920926,1.5864760199990612e-11,
linear,k1,r2,0,train,0.658890515489826,0.43411521754644056,0.012031610810050839,15.0
linear,k1,r2,0,test,0.6484758645448734,0.42046583358674516,0.012159335426986217,
