model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse,train_epochs
blstm,k1,r0,0.2,0,train,0.9975521459673659,0.9947031272224947,0.00010430123620608356,48.0
blstm,k1,r0,0.2,0,test,0.9967168433029371,0.9929622963687931,0.00014239346783142536,
blstm,k1,r7,1.0,0,train,0.9992653495553597,0.9984466753382815,3.804139966010361e-05,26.0
blstm,k1,r7,1.0,0,test,0.9991441614217558,0.9982236854872519,4.260042478563264e-05,
blstm,k1,r7,0.8,0,train,0.999463665115689,0.9987917416624751,2.9694387315733668e-05,29.0
blstm,k1,r7,0.8,0,test,0.9994096798582213,0.9987075128996227,3.105198629782535e-05,
blstm,k1,r7,0.6,0,train,0.9988991513695966,0.9977702637133459,5.436992069007829e-05,27.0
blstm,k1,r7,0.6,0,test,0.9987904317043195,0.9975605976661597,5.8769711904460566e-05,
blstm,k1,r7,0.4,0,train,0.999006884930387,0.9980066782117949,4.865155278821476e-05,38.0
blstm,k1,r7,0.4,0,test,0.998875902454031,0.9977441292822131,5.417997817858122e-05,
blstm,k1,r7,0.2,0,train,0.9981089341413292,0.9959930733462595,9.468616735830437e-05,34.0
blstm,k1,r7,0.2,0,test,0.9974987760503218,0.9948236615000887,0.00012362376728560775,
blstm,k2,r2,1.0,0,train,0.9952761652661966,0.990540521559619,0.00017259642175447784,36.0
blstm,k2,r2,1.0,0,test,0.9917846479055417,0.983340023238947,0.00030114007531665263,
blstm,k2,r2,0.8,0,train,0.9968005984810405,0.993592355235168,0.00011725367561060314,62.0
blstm,k2,r2,0.8,0,test,0.9929232876426349,0.9857030186731307,0.00025855699204839765,
blstm,k2,r2,0.6,0,train,0.9944799501521134,0.9886898428280927,0.00020686342163985088,54.0
blstm,k2,r2,0.6,0,test,0.9871361160638176,0.9733567187380106,0.00048467859160155057,
blstm,k2,r2,0.4,0,train,0.9921027520029957,0.984261900161607,0.00029016586995567195,62.0
blstm,k2,r2,0.4,0,test,0.9743630681968806,0.9486631871476043,0.0009324094397015869,
blstm,k2,r2,0.2,0,train,0.9754511850903121,0.9512734432736645,0.0008932219061534852,77.0
blstm,k2,r2,0.2,0,test,0.8837920680476141,0.780993784330141,0.003983475686982274,
blstm,k2,r4,1.0,0,train,0.998211615303072,0.9963035631656112,7.500261869465344e-05,55.0
blstm,k2,r4,1.0,0,test,0.9971297152971913,0.9939958995689885,0.00011908700107596815,
blstm,k2,r4,0.8,0,train,0.997805836881376,0.9955062410554084,9.150192054221406e-05,57.0
blstm,k2,r4,0.8,0,test,0.9963616262834869,0.9926637770054914,0.00014554125955328344,
blstm,k2,r4,0.6,0,train,0.9974490497067363,0.9946615309897784,0.00010995869524776936,66.0
blstm,k2,r4,0.6,0,test,0.9950059919150666,0.989713679218704,0.00020463810942601414,
blstm,k2,r4,0.4,0,train,0.9955199685300464,0.9909248778891498,0.0001843810168793425,67.0
blstm,k2,r4,0.4,0,test,0.9903905029331619,0.9800006528353432,0.0003981749003287405,
blstm,k2,r4,0.2,0,train,0.9901308328950157,0.9802726862058113,0.00040318395622307435,71.0
blstm,k2,r4,0.2,0,test,0.9669135023381029,0.9336103605391538,0.0013156629167497158,
blstm,k2,r0,1.0,0,train,0.9977343310079796,0.99536268100452,0.00010257109151050252,54.0
blstm,k2,r0,1.0,0,test,0.9947999501507072,0.9895398365355624,0.00022751132491976022,
blstm,k2,r0,0.8,0,train,0.9965021660692529,0.9929701962748807,0.00015539436717517673,51.0
blstm,k2,r0,0.8,0,test,0.9917866192322654,0.9834352315000698,0.0003601191390771419,
blstm,k2,r0,0.6,0,train,0.9965151278787319,0.9930210700245422,0.00015581677673088217,72.0
blstm,k2,r0,0.6,0,test,0.9892876017072373,0.9783273924965457,0.000468035286758095,
blstm,k2,r0,0.4,0,train,0.9947028671640019,0.9893302753520693,0.00024105948250507936,75.0
blstm,k2,r0,0.4,0,test,0.9792143564058043,0.9574646535530711,0.0009235239820554852,
blstm,k2,r0,0.2,0,train,0.9819404517327294,0.963447774667959,0.000820052417111583,74.0
blstm,k2,r0,0.2,0,test,0.9186487521119747,0.8426367528511723,0.0034240324050188063,
blstm,k2,r7,1.0,0,train,0.9973193249321365,0.9946146310788975,0.0001063979710268445,55.0
blstm,k2,r7,1.0,0,test,0.9937602005118512,0.9873827160795353,0.00025329864292871206,
blstm,k2,r7,0.8,0,train,0.9971261514292884,0.9939383070227192,0.00011892143035462747,67.0
blstm,k2,r7,0.8,0,test,0.9927210254575666,0.9852610571605717,0.0002962676458992064,
blstm,k2,r7,0.6,0,train,0.9956760485103769,0.9912974203443051,0.00016960113134700805,63.0
blstm,k2,r7,0.6,0,test,0.9872715596540327,0.9738659438606407,0.0005244070431217551,
blstm,k2,r7,0.4,0,train,0.9920269771213045,0.9839915874565514,0.00031149716960499063,60.0
blstm,k2,r7,0.4,0,test,0.9705212136537387,0.941158783763236,0.0011749595869332552,
blstm,k2,r7,0.2,0,train,0.9709489761979638,0.9401397617032815,0.0011574979580473155,60.0
blstm,k2,r7,0.2,0,test,0.8692700765073,0.7529848387333253,0.004979124199599028,
blstm,k3,r2,1.0,0,train,0.9869433438916095,0.9739119562703439,0.0005287721670404272,70.0
blstm,k3,r2,1.0,0,test,0.9057325585520304,0.8193080296363228,0.003549709031358361,
blstm,k3,r2,0.8,0,train,0.9770142614277596,0.953802429120622,0.0009306218591518701,52.0
blstm,k3,r2,0.8,0,test,0.8582494617768283,0.7358157198512791,0.005191160086542368,
blstm,k3,r2,0.6,0,train,0.975020898600709,0.950582906022057,0.0010034340296194634,80.0
blstm,k3,r2,0.6,0,test,0.8157387876374887,0.6648341587542442,0.006564625818282366,
blstm,k3,r2,0.4,0,train,0.9574308583152832,0.9165886520109017,0.0016837938310345635,71.0
blstm,k3,r2,0.4,0,test,0.7094204493956137,0.486926161484157,0.01006295382976532,
blstm,k3,r2,0.2,0,train,0.917312938269262,0.8393019421277497,0.0033232149435207248,73.0
blstm,k3,r2,0.2,0,test,0.519970320465541,0.15944252058821096,0.016506208479404448,
blstm,k3,r4,1.0,0,train,0.9858159439684892,0.9711729333230599,0.000577387366272313,61.0
blstm,k3,r4,1.0,0,test,0.9008545775352274,0.8102782074709002,0.0036874901968985798,
blstm,k3,r4,0.8,0,train,0.9811978874913536,0.9627135885671079,0.0007377740383769075,72.0
blstm,k3,r4,0.8,0,test,0.8616473136665973,0.7420793355760369,0.0049751211889088156,
blstm,k3,r4,0.6,0,train,0.9726814860425088,0.9455890870326428,0.00106986949685961,89.0
blstm,k3,r4,0.6,0,test,0.7979472021621516,0.6358051201407582,0.007098024059087038,
blstm,k3,r4,0.4,0,train,0.9474721883697791,0.8971577728115656,0.0020272799156373367,68.0
blstm,k3,r4,0.4,0,test,0.6499346479751736,0.3936122046887418,0.011791978031396866,
blstm,k3,r4,0.2,0,train,0.7948729019613862,0.6305510044079241,0.007362604606896639,44.0
blstm,k3,r4,0.2,0,test,0.3884912873083118,0.01938430395312507,0.01900746151804924,
blstm,k3,r0,1.0,0,train,0.9888265130301385,0.9770561401984441,0.00042905326546659986,71.0
blstm,k3,r0,1.0,0,test,0.9338214049956834,0.869842363626438,0.002480565756559372,
blstm,k3,r0,0.8,0,train,0.9833162704274829,0.9667894691068464,0.0006143822140681247,61.0
blstm,k3,r0,0.8,0,test,0.9061463179851356,0.8196723570323646,0.0034352276474237443,
blstm,k3,r0,0.6,0,train,0.9747771265380651,0.9499802182820937,0.0009183371069163761,74.0
blstm,k3,r0,0.6,0,test,0.8516292228680573,0.7250365812140256,0.005214050598442555,
blstm,k3,r0,0.4,0,train,0.9595779484945457,0.9204252216080342,0.0014581994182663038,78.0
blstm,k3,r0,0.4,0,test,0.740321441317261,0.5425515695651333,0.008706667833030224,
blstm,k3,r0,0.2,0,train,0.9134247259545981,0.8308790583110535,0.0030957854469306767,68.0
blstm,k3,r0,0.2,0,test,0.5042914326102177,0.1450825055856766,0.01616623979061842,
blstm,k3,r7,1.0,0,train,0.9796907099002363,0.9590311398691472,0.0008393496421999053,52.0
blstm,k3,r7,1.0,0,test,0.8461814731428372,0.7138236318352045,0.0059321939013898374,
blstm,k3,r7,0.8,0,train,0.9790272397169435,0.9584861433917355,0.000849666011830171,86.0
blstm,k3,r7,0.8,0,test,0.8398084611922682,0.7051413431029234,0.006098423805087805,
blstm,k3,r7,0.6,0,train,0.9644693989086315,0.9301653516678856,0.0014294981744817712,59.0
blstm,k3,r7,0.6,0,test,0.7733919229225849,0.5906506013798851,0.008533821813762188,
blstm,k3,r7,0.4,0,train,0.9592278758034515,0.9198836688032077,0.0016161143139470369,100.0
blstm,k3,r7,0.4,0,test,0.7342048849072663,0.5321096324995057,0.009674332290887832,
