model,landscape,replicate,train distance,cv_fold,data_split,pearson_r,r2,mse_loss,train_epochs
cnn,gb1,r0,train distance 2,0,test_dist2,0.2135026112159649,0.03875915434106192,0.013174793682992458,
cnn,gb1,r0,train distance 2,0,test_dist3,0.2828551377207013,0.014199468885178423,0.08628711973627408,
cnn,gb1,r0,train distance 2,0,test_dist4,0.24151352963723519,-0.022304080248282565,0.19690671687324843,
cnn,gb1,r0,train distance 3,0,train,0.8305752938701584,0.6250900544035709,0.026663208690782387,1.0
cnn,gb1,r0,train distance 3,0,test_dist1,0.6939562596421278,-1.032680767942849,9.60381112236064e-06,
cnn,gb1,r0,train distance 3,0,test_dist2,0.9889396222190036,0.9695702997732146,0.00041707028867676854,
cnn,gb1,r0,train distance 3,0,test_dist3,0.8631175401841851,0.6562923303787485,0.02996830890576045,
cnn,gb1,r0,train distance 3,0,test_dist4,0.7113437382175398,0.37350412765320096,0.12065592284003894,
cnn,gb1,r0,train distance 4,0,train,0.9207918921337692,0.8344581398233799,0.02537234045438847,1.0
cnn,gb1,r0,train distance 4,0,test_dist1,0.28732245457448613,-52.98736829091186,0.0002550742356106639,
cnn,gb1,r0,train distance 4,0,test_dist2,0.9475412368248342,0.8836904784863109,0.0015941413585096598,
cnn,gb1,r0,train distance 4,0,test_dist3,0.9222468401660242,0.8488015727302296,0.013106548848251501,
cnn,gb1,r0,train distance 4,0,test_dist4,0.9136187616028996,0.8190103608058912,0.034847113148619734,
gb,gb1,r0,train distance 1,0,train,1.0,1.0,7.722418161596648e-34,
gb,gb1,r0,train distance 1,0,test_dist1,0.3012158784926596,0.0676333631463164,4.40515411285584e-06,
gb,gb1,r0,train distance 1,0,test_dist2,0.21988846282545796,0.007750288971156261,0.013599800518109759,
gb,gb1,r0,train distance 1,0,test_dist3,0.19044752489011227,-0.012023984920511488,0.08365366912728524,
gb,gb1,r0,train distance 1,0,test_dist4,0.1792680221309474,-0.03591747947609769,0.19972495105306506,
gb,gb1,r0,train distance 2,0,train,0.9999998873446935,0.999999773408411,1.1511447610963315e-09,
gb,gb1,r0,train distance 2,0,test_dist1,0.8501377067682077,0.6742786147481912,1.5389363402460301e-06,
gb,gb1,r0,train distance 2,0,test_dist2,0.23860841281965414,0.016709949922689482,0.013476999170529214,
gb,gb1,r0,train distance 2,0,test_dist3,0.30453062406464376,0.06556134021159388,0.07724048405021045,
gb,gb1,r0,train distance 2,0,test_dist4,0.3756929488374509,0.12238919219078703,0.16920341543226206,
gb,gb1,r0,train distance 3,0,train,0.9999120051398965,0.9998165768313672,1.3773565690206519e-05,
gb,gb1,r0,train distance 3,0,test_dist1,-0.0780813856703006,-14.123275969964071,7.14529657171719e-05,
gb,gb1,r0,train distance 3,0,test_dist2,0.963453381133131,0.8711793209058606,0.0017656196004039967,
gb,gb1,r0,train distance 3,0,test_dist3,0.6958291524739755,0.4820046150053554,0.042817379026057596,
gb,gb1,r0,train distance 3,0,test_dist4,0.8192870876544911,0.6649707875379294,0.06459365189414001,
gb,gb1,r0,train distance 4,0,train,0.9964039512002144,0.992483055490393,0.001147087172980528,
gb,gb1,r0,train distance 4,0,test_dist1,-0.2281458624475122,-20.999470830335895,0.00010394093436884153,
gb,gb1,r0,train distance 4,0,test_dist2,0.9820226603889183,0.8283023010124403,0.0023532931576549384,
gb,gb1,r0,train distance 4,0,test_dist3,0.939184910013479,0.8754256396557634,0.01029728788769615,
gb,gb1,r0,train distance 4,0,test_dist4,0.9287386447263934,0.860470592717696,0.026901277941574066,
linear,gb1,r0,train distance 1,0,train,0.14786330762681593,-669.9705212301615,0.011822917498648167,1.0
linear,gb1,r0,train distance 1,0,test_dist1,0.26127651212666103,-1450.7410016231013,0.00685904361307621,
linear,gb1,r0,train distance 1,0,test_dist2,-0.08961350637277632,-0.9068998689791141,0.026136018335819244,
linear,gb1,r0,train distance 1,0,test_dist3,-0.045902640903024566,-0.1751837259568072,0.10214308028419812,
linear,gb1,r0,train distance 1,0,test_dist4,-0.04209649430414012,-0.12511540232404195,0.21671262880166373,
linear,gb1,r0,train distance 2,0,train,0.05592813778130871,-2.0394866278883304,0.015441389754414558,1.0
linear,gb1,r0,train distance 2,0,test_dist1,0.3850349344020504,-1423.756216987635,0.006731548346579075,
linear,gb1,r0,train distance 2,0,test_dist2,0.09414350848308412,-0.6799391922345162,0.02302529104053974,
linear,gb1,r0,train distance 2,0,test_dist3,0.07070084930604713,-0.20048001480213995,0.10422663390636444,
linear,gb1,r0,train distance 2,0,test_dist4,0.07739857214214291,-0.17643763184595573,0.2266624408463637,
linear,gb1,r0,train distance 3,0,train,0.010390689794471792,-0.3363344597904554,0.09668880421668291,1.0
linear,gb1,r0,train distance 3,0,test_dist1,-0.2911247967668087,-6413.735022750565,0.03030771017074585,
linear,gb1,r0,train distance 3,0,test_dist2,0.034251919136943976,-1.799464101462203,0.03836952522397041,
linear,gb1,r0,train distance 3,0,test_dist3,-0.00852353188113282,-0.3222938297953617,0.11405650774637859,
linear,gb1,r0,train distance 3,0,test_dist4,0.05475432337642414,-0.11896284376686128,0.2155382533868154,
linear,gb1,r0,train distance 4,0,train,0.20278210337553831,0.038583342403485044,0.14739197914062416,1.0
linear,gb1,r0,train distance 4,0,test_dist1,0.5563215142302711,-833.8429793620733,0.003944383934140205,
linear,gb1,r0,train distance 4,0,test_dist2,0.1011837166768722,-0.2922168969470098,0.017711160704493523,
linear,gb1,r0,train distance 4,0,test_dist3,0.12160380282378128,-0.005718732484798039,0.08792563776175182,
linear,gb1,r0,train distance 4,0,test_dist4,0.21629275477218954,0.04061006492479868,0.18477123975753784,
mlp,gb1,r0,train distance 1,0,train,0.18120315534915354,-6.579380583136425,0.0001335533888777718,1.0
mlp,gb1,r0,train distance 1,0,test_dist1,-0.087690750697011,-23.988923185827552,0.00011806520342361182,
mlp,gb1,r0,train distance 1,0,test_dist2,0.05942456984875466,0.002951668738174207,0.013665569014847279,
mlp,gb1,r0,train distance 1,0,test_dist3,0.07623559315117562,-0.008852227017140946,0.088259922961394,
mlp,gb1,r0,train distance 1,0,test_dist4,-0.02417105834155273,-0.03393084068097019,0.19915734976530075,
mlp,gb1,r0,train distance 2,0,train,0.4857902078287339,0.12676776225109532,0.0044362484477460384,1.0
mlp,gb1,r0,train distance 2,0,test_dist1,0.36957935289963534,-23.80415381670795,0.00011719223402906209,
mlp,gb1,r0,train distance 2,0,test_dist2,0.22097515325763953,0.027799101386356773,0.013325009495019913,
mlp,gb1,r0,train distance 2,0,test_dist3,0.3025918382892503,0.00027438271759183674,0.08748206744591396,
mlp,gb1,r0,train distance 2,0,test_dist4,0.30796945408439697,-0.03241230865371203,0.19886571417252222,
mlp,gb1,r0,train distance 3,0,train,0.8357516281233576,0.5632014431195639,0.03127194467621545,1.0
mlp,gb1,r0,train distance 3,0,test_dist1,0.5944312753828559,-16.673439220841924,8.350173447979614e-05,
mlp,gb1,r0,train distance 3,0,test_dist2,0.7520244727018048,0.4784912916101848,0.0071478127501904964,
mlp,gb1,r0,train distance 3,0,test_dist3,0.8319072754557308,0.5630296521101819,0.038603768994410835,
