model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r4,0,F,0.9768197211514698,-0.4324840307235718,0.025368799921125174,
blstm,k0,r4,0,C,0.9801200648293089,-1.611034870147705,0.04607765935361385,
blstm,k0,r4,0,E,0.9799582849690673,0.6165583729743958,0.0067810313776135445,
blstm,k0,r4,0,D,0.9822181715699592,0.6706765294075012,0.005810284288600087,
blstm,k0,r4,1,train,0.9897090902528916,0.9783834218978882,0.00037632953171851113,
blstm,k0,r4,1,G,0.9873078956204525,0.41972464323043823,0.009919000091031194,
blstm,k0,r4,1,F,0.9887281273948634,0.17818081378936768,0.014161945087835193,
blstm,k0,r4,1,C,0.9870631173806848,-0.8709790706634521,0.0318524525500834,
blstm,k0,r4,1,E,0.990020286620733,0.8731167316436768,0.0021785268909297884,
blstm,k0,r4,1,D,0.9889469376462444,0.9164217710494995,0.0014411512529477477,
blstm,k0,r4,2,train,0.9970304151473034,0.9848296046257019,0.00027658942417474464,
blstm,k0,r4,2,G,0.99398201610407,0.9510411024093628,0.0008797668415354565,
blstm,k0,r4,2,F,0.9955940791732287,0.7091765403747559,0.005250879912637174,
blstm,k0,r4,2,C,0.9887582345103679,-0.6686512231826782,0.03001648234203458,
blstm,k0,r4,2,E,0.9958204297371775,0.9836253523826599,0.0002961961035907734,
blstm,k0,r4,2,D,0.9966383989922017,0.9829443693161011,0.000307930436974857,
blstm,k0,r4,3,train,0.9868271739852239,0.9724388122558594,0.00047984500997699797,
blstm,k0,r4,3,G,0.98562296038078,0.8630702495574951,0.002460360061377287,
blstm,k0,r4,3,F,0.9853094856876002,0.9614417552947998,0.0006618652187171392,
blstm,k0,r4,3,C,0.9817869585629696,0.43751853704452515,0.009866820415481925,
blstm,k0,r4,3,E,0.9863982965893989,0.9118542671203613,0.0015707832062616944,
blstm,k0,r4,3,D,0.9822884129039797,0.9496158957481384,0.0008705186482984573,
blstm,k0,r4,4,train,0.9715816418026564,0.8885340690612793,0.0018317420908715576,
blstm,k0,r4,4,G,0.9726103491596083,-0.4097919464111328,0.023296967148780823,
blstm,k0,r4,4,F,0.9697694155797297,-0.2901114225387573,0.02127767028287053,
blstm,k0,r4,4,C,0.9728995159804061,0.9439435005187988,0.0009218827326549217,
blstm,k0,r4,4,E,0.9721767408589013,0.28650474548339844,0.011808150447905064,
blstm,k0,r4,4,D,0.969731402816828,0.9332486987113953,0.0011035290372092277,
blstm,k0,r4,5,train,0.9724176749941343,0.9437599778175354,0.000965613653534092,
blstm,k0,r4,5,G,0.9710603309099707,-0.5402802228927612,0.026579755824059248,
blstm,k0,r4,5,F,0.9697756112562872,-0.7217913866043091,0.029720686376094818,
blstm,k0,r4,5,C,0.9725553405817777,-0.41591060161590576,0.02437846828252077,
blstm,k0,r4,5,E,0.9694064324003685,-0.2433398962020874,0.02147637214511633,
blstm,k0,r4,5,D,0.9687499005277358,0.7496047019958496,0.004338271450251341,
blstm,k1,r5,0,train,0.5943072190492551,0.3524203300476074,0.013228501658886671,
blstm,k1,r5,0,G,0.6177048444458357,0.0038495659828186035,0.0219894926995039,
blstm,k1,r5,0,F,0.5791186522573226,-0.23312246799468994,0.024026195518672466,
blstm,k1,r5,0,C,0.5066159174003222,0.22729939222335815,0.014213958522304893,
blstm,k1,r5,0,E,0.5850939864172328,0.3037833571434021,0.01474113971926272,
blstm,k1,r5,0,D,0.5018220859124742,0.20361238718032837,0.015079256147146225,
blstm,k1,r5,1,train,0.7073725234508659,0.49779295921325684,0.009402827126905322,
blstm,k1,r5,1,G,0.43916758803222217,-0.15996384620666504,0.02221814403310418,
blstm,k1,r5,1,F,0.5503719744884351,0.25000321865081787,0.016627836972475052,
blstm,k1,r5,1,C,0.4155640173563684,-0.2426697015762329,0.02010349975898862,
blstm,k1,r5,1,E,0.4422394752185438,0.14000838994979858,0.016183203319087625,
blstm,k1,r5,1,D,0.6348304968424925,0.2611727714538574,0.015803294954821467,
blstm,k1,r5,2,train,0.693326632638104,0.4300694465637207,0.010389858158305287,
blstm,k1,r5,2,G,0.5559887781313986,-1.0269064903259277,0.04036748968064785,
blstm,k1,r5,2,F,0.5300626591463322,-0.17360222339630127,0.031975950114429,
blstm,k1,r5,2,C,0.31590353344473543,-0.05177724361419678,0.01608375576324761,
blstm,k1,r5,2,E,0.40856605979795146,-0.32725393772125244,0.02548018516972661,
blstm,k1,r5,2,D,0.4988890908636812,-0.6639375686645508,0.029525834135711193,
blstm,k1,r5,3,train,0.7618022796771959,0.5633741617202759,0.00783251435495913,
blstm,k1,r5,3,G,0.2682097533770147,-0.060987234115600586,0.02302693808451295,
blstm,k1,r5,3,F,0.44955683494860776,0.08158332109451294,0.016987059265375137,
blstm,k1,r5,3,C,0.3512068863883887,0.04529142379760742,0.02039288356900215,
blstm,k1,r5,3,E,0.25225403325184886,-0.2553706169128418,0.02224450372159481,
blstm,k1,r5,3,D,0.3002965353882956,-0.20050323009490967,0.02513205073773861,
blstm,k1,r5,4,train,0.5932902050895261,0.3274517059326172,0.00958773191086948,
blstm,k1,r5,4,G,0.32396942635457915,-1.3399457931518555,0.04228632338345051,
blstm,k1,r5,4,F,0.028152905615117074,-2.013280153274536,0.055687298998236656,
blstm,k1,r5,4,C,0.31808767936750826,0.07621866464614868,0.02153446339070797,
blstm,k1,r5,4,E,0.14868570335777342,-1.1239416599273682,0.03128297720104456,
blstm,k1,r5,4,D,0.32050542450312314,0.031367719173431396,0.016261143377050757,
blstm,k1,r5,5,train,0.49672258629964094,0.2264689803123474,0.013188341865316033,
blstm,k1,r5,5,G,0.3162156325274703,-1.074157476425171,0.04141034372150898,
blstm,k1,r5,5,F,0.3400297011522898,-2.687587022781372,0.0693763941526413,
blstm,k1,r5,5,C,0.3112455738977973,-0.5837805271148682,0.03443701425567269,
blstm,k1,r5,5,E,0.36360731399034796,-3.856837749481201,0.08553718402981758,
blstm,k1,r5,5,D,0.36167613792647724,-0.07029962539672852,0.022754971869289875,
blstm,k1,r4,0,train,0.6775807880402122,0.4402257800102234,0.01282481593079865,
blstm,k1,r4,0,G,0.346900468817154,-0.09874975681304932,0.019741307012736797,
blstm,k1,r4,0,F,0.4379134447650701,-0.5484930276870728,0.033412443241104484,
blstm,k1,r4,0,C,0.4212848477192239,-0.1742175817489624,0.035491250455379486,
