model,landscape,replicate,fixed_site,data_split,pearson_r,r2,mse_loss,train_epochs
mlp,k0,r0,4,E,0.9999694294166144,0.9999340176582336,1.2395150861266302e-06,
mlp,k0,r0,4,D,0.9999678192934334,0.9999351501464844,1.1740658010239713e-06,
mlp,k0,r0,4,G,0.9999717242513566,0.9999428987503052,1.0756315305116004e-06,
mlp,k0,r0,4,C,0.9999716676937944,0.9999047517776488,1.7301243815381897e-06,
mlp,k0,r0,4,F,0.999968317554546,0.9998993873596193,1.807112312235404e-06,
mlp,k0,r0,5,train,0.9999291092113902,0.999840497970581,3.5843006451997145e-06,
mlp,k0,r0,5,E,0.9999316706585876,0.9998465180397034,3.1010354177851696e-06,
mlp,k0,r0,5,D,0.9999132067564368,0.9996720552444458,6.247239525691839e-06,
mlp,k0,r0,5,G,0.9999063762405052,0.9997708797454834,4.2968154048139695e-06,
mlp,k0,r0,5,C,0.9999205049895176,0.9998213052749634,3.2337704851670424e-06,
mlp,k0,r0,5,F,0.9999479665517308,0.9998818039894104,2.416644747427199e-06,
mlp,k0,r5,0,train,0.9999234364928984,0.9998255372047424,3.1928727462639617e-06,
mlp,k0,r5,0,E,0.9999138800175628,0.9998055696487428,2.436504701108788e-06,
mlp,k0,r5,0,D,0.9998473230739586,0.9996935129165648,3.970650141127408e-06,
mlp,k0,r5,0,G,0.9998785478050276,0.9996999502182008,3.6388132684805896e-06,
mlp,k0,r5,0,C,0.9999022817828396,0.9996797442436218,4.141236331633991e-06,
mlp,k0,r5,0,F,0.9999157010412534,0.9997954368591307,2.5609674594306853e-06,
mlp,k0,r5,1,train,0.9999321079792968,0.9998469352722168,2.8055946203446516e-06,
mlp,k0,r5,1,E,0.9999123482791314,0.999801754951477,3.1220283744914923e-06,
mlp,k0,r5,1,D,0.999927366849129,0.9998178482055664,2.760611778285238e-06,
mlp,k0,r5,1,G,0.9999158295270502,0.9998177289962769,2.751604142758879e-06,
mlp,k0,r5,1,C,0.9998907851269394,0.99975848197937,3.7361521663115127e-06,
mlp,k0,r5,1,F,0.999923790981484,0.99978768825531,3.310305373815936e-06,
mlp,k0,r5,2,train,0.99987180840704,0.9997379183769226,4.766791478591346e-06,
mlp,k0,r5,2,E,0.9998840526829516,0.999767005443573,3.902185198967345e-06,
mlp,k0,r5,2,D,0.9998532599517732,0.999701201915741,4.77277308164048e-06,
mlp,k0,r5,2,G,0.9998619468131764,0.9996865391731262,5.010409040551167e-06,
mlp,k0,r5,2,C,0.9998699120509424,0.999726951122284,4.709363565780222e-06,
mlp,k0,r5,2,F,0.9997923488785774,0.9995775818824768,6.979255886108149e-06,
mlp,k0,r5,3,train,0.9999841691761272,0.9999602437019348,7.343502165655847e-07,
mlp,k0,r5,3,E,0.999987921015758,0.999914288520813,1.370983341075771e-06,
mlp,k0,r5,3,D,0.9999889409062988,0.9999416470527648,9.73693545347487e-07,
mlp,k0,r5,3,G,0.999989125621944,0.9999769926071168,3.518121047818568e-07,
mlp,k0,r5,3,C,0.9999868395195548,0.9999735951423644,4.158432034273574e-07,
mlp,k0,r5,3,F,0.9999842162978864,0.9999476671218872,8.657192438477068e-07,
mlp,k0,r5,4,train,0.999905787702458,0.9997832775115968,3.955492191284736e-06,
mlp,k0,r5,4,E,0.9998961670709312,0.9997442364692688,3.841825218842132e-06,
mlp,k0,r5,4,D,0.9998368732234147,0.9996543526649476,5.688943019777071e-06,
mlp,k0,r5,4,G,0.9999150921692976,0.9997331500053406,4.199623617751058e-06,
mlp,k0,r5,4,C,0.9999017930158336,0.9997896552085876,3.217444827896543e-06,
mlp,k0,r5,4,F,0.999913005666634,0.9998133778572084,2.9239552077342523e-06,
mlp,k0,r5,5,train,0.9999964850379112,0.9999921321868896,1.435259299479472e-07,
mlp,k0,r5,5,E,0.9999975524741672,0.9999923706054688,1.2004146299204876e-07,
mlp,k0,r5,5,D,0.9999971013221745,0.9999937415122986,9.354198482469657e-08,
mlp,k0,r5,5,G,0.9999970081283254,0.9999934434890748,1.00754796505953e-07,
mlp,k0,r5,5,C,0.999997487522014,0.9999930262565612,1.0678235895511536e-07,
mlp,k0,r5,5,F,0.9999923127070224,0.9999825954437256,2.862260828351282e-07,
mlp,k0,r6,0,train,0.9999172672918258,0.999824583530426,3.884256413680544e-06,
mlp,k0,r6,0,E,0.999825189162333,0.9994796514511108,9.859914825938176e-06,
mlp,k0,r6,0,D,0.999940600691732,0.999880313873291,2.3131476609705715e-06,
mlp,k0,r6,0,G,0.9999141988525188,0.999823033809662,3.3994535897363676e-06,
mlp,k0,r6,0,C,0.99991121540206,0.9997769594192504,4.087787147000199e-06,
mlp,k0,r6,0,F,0.9999102478160968,0.999819815158844,3.3198004985024454e-06,
mlp,k0,r6,1,train,0.999918957305741,0.9998346567153932,3.673497554987798e-06,
mlp,k0,r6,1,E,0.9999195203744206,0.9998377561569214,2.898016191466013e-06,
mlp,k0,r6,1,D,0.9998869191302064,0.9997618198394777,4.198293027002364e-06,
mlp,k0,r6,1,G,0.9998499817090626,0.9996397495269777,6.74764669383876e-06,
mlp,k0,r6,1,C,0.9999259012940884,0.9998497366905212,2.551116949689458e-06,
mlp,k0,r6,1,F,0.9999001718988934,0.9997994303703308,3.4916522508865455e-06,
mlp,k0,r6,2,train,0.99997220027052,0.9999290108680724,1.5949623484869478e-06,
mlp,k0,r6,2,E,0.9999678404527303,0.9999096989631652,1.6554563444515225e-06,
mlp,k0,r6,2,D,0.9999640685775414,0.9999098181724548,1.6443729009552044e-06,
mlp,k0,r6,2,G,0.9999684092344636,0.9999006390571594,1.758809275997919e-06,
mlp,k0,r6,2,C,0.9999715956588336,0.9998692274093628,2.3541467726317933e-06,
mlp,k0,r6,2,F,0.9999699214601958,0.9999390244483948,1.124241066463583e-06,
mlp,k0,r6,3,train,0.9999588156467863,0.9999094009399414,2.043591363967847e-06,
mlp,k0,r6,3,E,0.9999456740196258,0.9998594522476196,2.5680087674118113e-06,
mlp,k0,r6,3,D,0.9999532057323836,0.9998996257781982,1.824907826630806e-06,
mlp,k0,r6,3,G,0.9999595449514384,0.9999157786369324,1.5679306670790538e-06,
mlp,k0,r6,3,C,0.9999507393241178,0.9998572468757628,2.5304420887550805e-06,
mlp,k0,r6,3,F,0.9999565467275384,0.999879002571106,2.120633553204243e-06,
mlp,k0,r6,4,train,0.9999246736361012,0.9998063445091248,4.367739788186124e-06,
mlp,k0,r6,4,E,0.999927291505042,0.9998261332511902,3.4333056646573823e-06,
mlp,k0,r6,4,D,0.9999293561841012,0.9998267889022828,3.4449531085556373e-06,
mlp,k0,r6,4,G,0.9999360924032666,0.9998463988304138,2.97868496090814e-06,
mlp,k0,r6,4,C,0.9999285729274556,0.9997403621673584,4.64442791781039e-06,
mlp,k0,r6,4,F,0.9998770548996732,0.9995895624160768,8.081510713964235e-06,
mlp,k0,r6,5,train,0.9999063063941912,0.999763548374176,5.319473506173572e-06,
mlp,k0,r6,5,E,0.9998940690910773,0.999755859375,5.097963821754092e-06,
mlp,k0,r6,5,D,0.9998914500402531,0.9997007250785828,6.356772246363107e-06,
mlp,k0,r6,5,G,0.9999126877341666,0.9997109174728394,6.4117398324015085e-06,
mlp,k0,r6,5,C,0.9999169905878242,0.99976646900177,4.7164485295070335e-06,
mlp,k0,r6,5,F,0.9998785335132097,0.9997560381889344,5.128978955326602e-06,
mlp,k0,r4,0,train,0.9999244670295804,0.9998162984848022,3.8047702865266105e-06,
mlp,k0,r4,0,E,0.9999188677999038,0.9998356103897096,2.851305453077657e-06,
mlp,k0,r4,0,D,0.9999283655972016,0.9998406171798706,2.810749492709874e-06,
mlp,k0,r4,0,G,0.9998734121964848,0.9996896386146544,5.391892045736313e-06,
mlp,k0,r4,0,C,0.9999226386516726,0.9998078942298888,3.410034651096794e-06,
