model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse
cnn,gb1,r2,0.4,0,test,0.9534258970945348,0.9090186632402206,0.013725178347279628
cnn,gb1,r2,0.2,0,train,0.978317535113507,0.9553841440575478,0.007030578873430689
cnn,gb1,r2,0.2,0,test,0.9255350083468612,0.8549599604888148,0.021675280978282294
cnn,gb1,r3,1.0,0,train,0.9942530864259819,0.9869469311759663,0.0021099247436938903
cnn,gb1,r3,1.0,0,test,0.9735856663732979,0.9457633917770969,0.008160369812200467
cnn,gb1,r3,0.8,0,train,0.990367902355522,0.9802727098574522,0.0032113941455695857
cnn,gb1,r3,0.8,0,test,0.969836428125568,0.9401797109174601,0.008973121425757806
cnn,gb1,r3,0.6,0,train,0.9867597129337917,0.9736615791913389,0.004239035977257622
cnn,gb1,r3,0.6,0,test,0.963804432225338,0.9289004286136278,0.010706005245447158
cnn,gb1,r3,0.4,0,train,0.9846278517323213,0.9694889633493242,0.0047605404106434435
cnn,gb1,r3,0.4,0,test,0.9498990283487787,0.9022731827802175,0.014742261233429114
cnn,gb1,r3,0.2,0,train,0.97387871192935,0.9465993664615595,0.008423988707363605
cnn,gb1,r3,0.2,0,test,0.916037418757438,0.8368142301811654,0.02434121196468671
linear,gb1,r0,1.0,0,train,0.44304549343027233,0.19626832461431032,0.12952238447585349
linear,gb1,r0,1.0,0,test,0.4391993844812437,0.1925127406010274,0.11985407322645188
linear,gb1,r0,0.8,0,train,0.4436565290360302,0.19681053933803805,0.13064322192618189
linear,gb1,r0,0.8,0,test,0.4388707401821455,0.19225509912543448,0.1198920875787735
linear,gb1,r0,0.6,0,train,0.4430738576970567,0.1962204200781117,0.139629568076796
linear,gb1,r0,0.6,0,test,0.43834853589583106,0.19191179483090226,0.11995342920223871
linear,gb1,r0,0.4,0,train,0.4382840204309441,0.1918040830545299,0.12773987744003534
linear,gb1,r0,0.4,0,test,0.4374086178901957,0.19128800511668564,0.12004931469758352
linear,gb1,r0,0.2,0,train,0.43913702760261936,0.19253188779991792,0.12771988039215407
linear,gb1,r0,0.2,0,test,0.4363228482596033,0.19036966223034157,0.12018300443887711
linear,gb1,r1,1.0,0,train,0.4430334449439774,0.196272727936037,0.12952339901762494
linear,gb1,r1,1.0,0,test,0.4390259689126446,0.19244497525923732,0.11986732731262843
linear,gb1,r1,0.8,0,train,0.4436498830828567,0.19679083032677847,0.130646398568407
linear,gb1,r1,0.8,0,test,0.4388787696161979,0.19229242973327088,0.11988754322131474
linear,gb1,r1,0.6,0,train,0.4430943780816684,0.19623639196423892,0.13967900536954403
linear,gb1,r1,0.6,0,test,0.43790380674113905,0.19151459751084998,0.12001368850469589
linear,gb1,r1,0.4,0,train,0.43803613417867127,0.19147320758582576,0.1278068364287416
linear,gb1,r1,0.4,0,test,0.4377385283722054,0.19152979499457812,0.1200190136830012
linear,gb1,r1,0.2,0,train,0.439153913077852,0.1925350158864899,0.1277184480180343
linear,gb1,r1,0.2,0,test,0.4364202882517547,0.19044383153565447,0.12017169098059337
linear,gb1,r2,1.0,0,train,0.44303900156581927,0.19626449356972908,0.12952402966507412
linear,gb1,r2,1.0,0,test,0.439076914056826,0.1924815506761679,0.1198612188299497
linear,gb1,r2,0.8,0,train,0.4436267595380088,0.19677387475010588,0.13064929605164427
linear,gb1,r2,0.8,0,test,0.43896388643882644,0.1923429899700505,0.11987845450639725
linear,gb1,r2,0.6,0,train,0.4431189069325235,0.19630744051595284,0.13963198103010654
linear,gb1,r2,0.6,0,test,0.4381829439352431,0.1916693969583677,0.11999168495337169
linear,gb1,r2,0.4,0,train,0.4385996360178191,0.19233645259943577,0.12765944904337326
linear,gb1,r2,0.4,0,test,0.43823517765170183,0.19200634979572606,0.1199327086408933
linear,gb1,r2,0.2,0,train,0.4391644012366359,0.19242476776493334,0.12773404767115912
linear,gb1,r2,0.2,0,test,0.4364113640443751,0.19041704322282926,0.12017771353324254
linear,gb1,r3,1.0,0,train,0.44305364925884094,0.196290101951633,0.12952026623790547
linear,gb1,r3,1.0,0,test,0.4391074321742105,0.19245349099977915,0.119863590101401
linear,gb1,r3,0.8,0,train,0.4436516994043684,0.19681961258199476,0.13064208753565523
linear,gb1,r3,0.8,0,test,0.43874923337743493,0.19206517097314146,0.11991985787947973
linear,gb1,r3,0.6,0,train,0.443218728345264,0.19644179242946713,0.1394485200030936
linear,gb1,r3,0.6,0,test,0.438159475289817,0.1912780562463463,0.12004299461841583
linear,gb1,r3,0.4,0,train,0.438236478607237,0.19190492519721958,0.1277270456776023
linear,gb1,r3,0.4,0,test,0.43849661278811064,0.19226805545237335,0.1198920801281929
linear,gb1,r3,0.2,0,train,0.43912428872361314,0.19249724957378322,0.12772371744116148
linear,gb1,r3,0.2,0,test,0.4364665918871777,0.19048742565312748,0.12016571412483851
mlp,gb1,r0,1.0,0,train,0.9972471847639623,0.9944715370860311,0.0008858764826288542
mlp,gb1,r0,1.0,0,test,0.9853004808892041,0.970534091843916,0.004450010306512316
mlp,gb1,r0,0.8,0,train,0.9949063493048688,0.9898363240013279,0.0016563097287484623
mlp,gb1,r0,0.8,0,test,0.982839581448583,0.9649442536638736,0.005342815909534693
mlp,gb1,r0,0.6,0,train,0.9944043159539914,0.9884176295225389,0.0018473379063329452
mlp,gb1,r0,0.6,0,test,0.9785633389606756,0.9556364747151593,0.006646296506126722
mlp,gb1,r0,0.4,0,train,0.9933244115655028,0.9863980644609559,0.002122550528535309
mlp,gb1,r0,0.4,0,test,0.9705439087638696,0.9417420240524212,0.008806099773695071
mlp,gb1,r0,0.2,0,train,0.9857736925354289,0.9716718349762934,0.004432701399006571
mlp,gb1,r0,0.2,0,test,0.9491227056317056,0.9004153311484016,0.01497407052665949
mlp,gb1,r1,1.0,0,train,0.9965972119312599,0.9931949395487081,0.0010907644419773023
mlp,gb1,r1,1.0,0,test,0.9854315654615494,0.9706356370197593,0.004423895664513111
mlp,gb1,r1,0.8,0,train,0.9954766007754635,0.9909528046288977,0.001473404385367448
mlp,gb1,r1,0.8,0,test,0.9831738773096744,0.966282363835695,0.005113306983063618
mlp,gb1,r1,0.6,0,train,0.9959059146862344,0.9917041844473661,0.001404000695199809
mlp,gb1,r1,0.6,0,test,0.9787111636881557,0.9569901950372917,0.006444665541251501
mlp,gb1,r1,0.4,0,train,0.992787751074472,0.9853661092069216,0.0022723061993019655
mlp,gb1,r1,0.4,0,test,0.9710814862887642,0.9418632672594992,0.008757688322414954
mlp,gb1,r1,0.2,0,train,0.983581434412383,0.9597123201859463,0.006334001741682489
mlp,gb1,r1,0.2,0,test,0.9439390075784715,0.8866616462849437,0.01684651759763559
mlp,gb1,r2,1.0,0,train,0.9973479636737184,0.9945141102153318,0.0008788181659252524
mlp,gb1,r2,1.0,0,test,0.9851722409401366,0.9695831505370024,0.0045885144888112945
mlp,gb1,r2,0.8,0,train,0.9955216422201474,0.9882012814532558,0.0019266444897437667
mlp,gb1,r2,0.8,0,test,0.9820799689080002,0.9635305682351971,0.0055296195360521475
mlp,gb1,r2,0.6,0,train,0.995477427393165,0.9909653361323335,0.0014832954426916938
mlp,gb1,r2,0.6,0,test,0.9796964788995189,0.9596189017389167,0.006101064787556728
mlp,gb1,r2,0.4,0,train,0.990589267820321,0.9763750872133868,0.003681271555251442
mlp,gb1,r2,0.4,0,test,0.9691809912535345,0.9362719978053565,0.009542834199965
mlp,gb1,r2,0.2,0,train,0.9861975229202279,0.9710607542243815,0.004551537839385371
mlp,gb1,r2,0.2,0,test,0.9516803907027278,0.9056890714983854,0.014236425670484701
mlp,gb1,r3,1.0,0,train,0.9970902835273051,0.9934199484763244,0.001055291788731465
mlp,gb1,r3,1.0,0,test,0.9847964628094668,0.9680583526669041,0.004825575572128097
mlp,gb1,r3,0.8,0,train,0.9949512300200021,0.9890148061642529,0.001790252623168078
mlp,gb1,r3,0.8,0,test,0.9819541652208046,0.9641978131401642,0.005376931574816505
mlp,gb1,r3,0.6,0,train,0.9953209688620227,0.990375724239859,0.0015442038040621104
mlp,gb1,r3,0.6,0,test,0.9789813549325709,0.9583113977994803,0.006246215415497621
mlp,gb1,r3,0.4,0,train,0.9926664748432792,0.9852373688208446,0.002297410178774347
mlp,gb1,r3,0.4,0,test,0.9716076284579199,0.9430898523117904,0.008518213344117006
mlp,gb1,r3,0.2,0,train,0.9826862192440078,0.9572129352659776,0.006739211307528119
mlp,gb1,r3,0.2,0,test,0.9427571554044436,0.8860625787515851,0.016986913979053497
transformer,gb1,r0,1.0,0,train,0.8731982818632651,0.7532362885003453,0.03965750904911655
transformer,gb1,r0,1.0,0,test,0.8617280434116091,0.7327035657476026,0.039965517818927765
transformer,gb1,r0,0.8,0,train,0.8700159647687024,0.7524579019684375,0.040246611302520365
transformer,gb1,r0,0.8,0,test,0.8532657456325062,0.7243794680567186,0.041202316681543984
transformer,gb1,r0,0.6,0,train,0.8778981529892721,0.7680716393848905,0.037153306831088334
transformer,gb1,r0,0.6,0,test,0.8538028036573716,0.7267719138314361,0.040309121211369835
transformer,gb1,r0,0.4,0,train,0.8450034954313166,0.7112783623472789,0.04489727683054904
transformer,gb1,r0,0.4,0,test,0.8392284078594145,0.6973128756435483,0.04510324945052465
transformer,gb1,r0,0.2,0,train,0.8344769399986988,0.6929235500215268,0.04863199405372143
transformer,gb1,r0,0.2,0,test,0.7826967181796097,0.6096742718755699,0.05836734573046366
transformer,gb1,r1,1.0,0,train,0.8665015619267772,0.7498400779472407,0.040198941225722686
